2020-05-02 10-42-31 | Initializing librouter...
2020-05-02 10-42-31 | Getting modules...
2020-05-02 10-42-31 | Loading settings...
2020-05-02 10-42-31 | Loading pairs...
2020-05-02 10-42-31 | Loading filter rules...
2020-05-02 10-42-31 | *** LoadFilterRules: No rules loaded
2020-05-02 10-42-31 | Loading IP exclusions...
2020-05-02 10-42-31 | Setting up user interface...
2020-05-02 10-42-31 | Loading port list...
2020-05-02 10-42-32 | Loading IP range list...
2020-05-02 10-42-32 | Initialization done
2020-05-02 10-42-47 | Starting portscan...
